S.N.|Candidate|Party|EVM Votes|Postal Votes|Total Votes|% of Votes|UT_OR_STATE|CONSTITUENCY
3.0|VIJAYASEELAN SDR|Tamil Maanila Congress (Moopanar)|121680|700|122380|12.51|Tamil Nadu|THOOTHUKKUDI
4.0|ROWENA RUTH JANE J|Naam Tamilar Katchi|119374|926|120300|12.29|Tamil Nadu|THOOTHUKKUDI
5.0|RAJHA N P|Naam Indiar Party|6622|18|6640|0.68|Tamil Nadu|THOOTHUKKUDI
6.0|ARUNADEVI R|Independent|6029|43|6072|0.62|Tamil Nadu|THOOTHUKKUDI
7.0|CHITHIRAI JEGAN S|Independent|3637|3|3640|0.37|Tamil Nadu|THOOTHUKKUDI
8.0|SIVANESWARAN J|Independent|3363|13|3376|0.35|Tamil Nadu|THOOTHUKKUDI
9.0|SAMUEL T|Independent|2240|5|2245|0.23|Tamil Nadu|THOOTHUKKUDI
10.0|MANIKKARAJ A|Bahujan Samaj Party|2158|37|2195|0.22|Tamil Nadu|THOOTHUKKUDI
11.0|AASIRIYAR SHANMUGA SUNDARAM K|Independent|1832|7|1839|0.19|Tamil Nadu|THOOTHUKKUDI
12.0|KALEERMURUGAPAVENTHAN R|Makkal Nalvaazhvuk Katchi|1736|56|1792|0.18|Tamil Nadu|THOOTHUKKUDI
13.0|PONKUMARAN T P S|Independent|894|3|897|0.09|Tamil Nadu|THOOTHUKKUDI
14.0|JEYAKUMAR C|Independent|825|4|829|0.08|Tamil Nadu|THOOTHUKKUDI
15.0|GANDHIMALLAR S M|Independent|791|14|805|0.08|Tamil Nadu|THOOTHUKKUDI
16.0|BISHOP DR GODFREY NOBLE|Aanaithinthiya Jananayaka Pathukappu Kazhagam|757|12|769|0.08|Tamil Nadu|THOOTHUKKUDI
17.0|PERUMALKUMAR P|Puthiya Makkal Tamil Desam Katchi|727|12|739|0.08|Tamil Nadu|THOOTHUKKUDI
18.0|ESAKKIMUTHU V|Independent|699|11|710|0.07|Tamil Nadu|THOOTHUKKUDI
19.0|KANNAN G|Independent|679|10|689|0.07|Tamil Nadu|THOOTHUKKUDI
20.0|DAVID JEBASEELAN J|Independent|656|7|663|0.07|Tamil Nadu|THOOTHUKKUDI
21.0|SUDALAIMUTHU P|Independent|576|2|578|0.06|Tamil Nadu|THOOTHUKKUDI
22.0|KRISHNAN S|Independent|479|1|480|0.05|Tamil Nadu|THOOTHUKKUDI
23.0|RADHAKRISHNAN V G|Independent|456|5|461|0.05|Tamil Nadu|THOOTHUKKUDI
24.0|JAMES P|Independent|433|11|444|0.05|Tamil Nadu|THOOTHUKKUDI
25.0|PONRAJ K|Independent|428|1|429|0.04|Tamil Nadu|THOOTHUKKUDI
26.0|PRASANNA KUMAR M|Independent|396|-|396|0.04|Tamil Nadu|THOOTHUKKUDI
27.0|SELVAMUTHUKUMAR M|Independent|341|-|341|0.03|Tamil Nadu|THOOTHUKKUDI
28.0|SENTHIL KUMAR S|Independent|290|1|291|0.03|Tamil Nadu|THOOTHUKKUDI
29.0|NOTA|None of the Above|9682|124|9806|1.0|Tamil Nadu|THOOTHUKKUDI
|Total||973066|5460|978526||Tamil Nadu|THOOTHUKKUDI
1.0|NAVASKANI K|Indian Union Muslim League|506690|2974|509664|45.92|Tamil Nadu|RAMANATHAPURAM
2.0|PANNEERSELVAM O S/O OTTAKARATHEVAR|Independent|340778|2104|342882|30.89|Tamil Nadu|RAMANATHAPURAM
3.0|JEYAPERUMAL P|All India Anna Dravida Munnetra Kazhagam|98757|1023|99780|8.99|Tamil Nadu|RAMANATHAPURAM
4.0|DR CHANDRA PRABHA JEYAPAL|Naam Tamilar Katchi|96701|971|97672|8.8|Tamil Nadu|RAMANATHAPURAM
5.0|MUVITH KUMAR N|Independent|7901|18|7919|0.71|Tamil Nadu|RAMANATHAPURAM
6.0|SENTHILMALLAR K|Independent|6629|198|6827|0.62|Tamil Nadu|RAMANATHAPURAM
7.0|SIVASHANKAR N|Independent|6583|10|6593|0.59|Tamil Nadu|RAMANATHAPURAM
8.0|KANNADHASAN R|Independent|3485|17|3502|0.32|Tamil Nadu|RAMANATHAPURAM
9.0|SELVARAJ G|Puthiya Makkal Tamil Desam Katchi|2943|14|2957|0.27|Tamil Nadu|RAMANATHAPURAM
10.0|PANNEERSELVAM O S/O OCHAPPAN|Independent|2939|42|2981|0.27|Tamil Nadu|RAMANATHAPURAM
11.0|PANCHAVARNAM V|Independent|2561|11|2572|0.23|Tamil Nadu|RAMANATHAPURAM
12.0|PARIRAJAN C|Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi|2493|4|2497|0.22|Tamil Nadu|RAMANATHAPURAM
13.0|PANNIR SELVAM M S/O MALAIYANDI|Independent|2387|15|2402|0.22|Tamil Nadu|RAMANATHAPURAM
14.0|NAWASKHAN|Independent|2301|22|2323|0.21|Tamil Nadu|RAMANATHAPURAM
15.0|SIVANANDAM N|Bahujan Samaj Party|1958|56|2014|0.18|Tamil Nadu|RAMANATHAPURAM
16.0|PANNEERSELVAM O S/O OYYADEVAR|Independent|1920|9|1929|0.17|Tamil Nadu|RAMANATHAPURAM
17.0|ABUBAKKAR SITHICK J|Desiya Makkal Sakthi Katchi|1497|21|1518|0.14|Tamil Nadu|RAMANATHAPURAM
18.0|MANIVASAGAM S|Bahujan Dravida Party|1392|11|1403|0.13|Tamil Nadu|RAMANATHAPURAM
19.0|PANNEERSELVAM O S/O OYYARAM|Independent|1369|7|1376|0.12|Tamil Nadu|RAMANATHAPURAM
20.0|SALEEM|Independent|961|13|974|0.09|Tamil Nadu|RAMANATHAPURAM
21.0|SASIKANI K|Independent|896|3|899|0.08|Tamil Nadu|RAMANATHAPURAM
22.0|SATHURAGIRI K|Independent|815|12|827|0.07|Tamil Nadu|RAMANATHAPURAM
23.0|SIKKANDAR B|Independent|804|19|823|0.07|Tamil Nadu|RAMANATHAPURAM
24.0|VIGNESH V|Independent|643|9|652|0.06|Tamil Nadu|RAMANATHAPURAM
25.0|PANNERSELVAM O S/O OCHATTHEVAR|Independent|564|8|572|0.05|Tamil Nadu|RAMANATHAPURAM
26.0|NOTA|None of the Above|6163|132|6295|0.57|Tamil Nadu|RAMANATHAPURAM
|Total||1102130|7723|1109853||Tamil Nadu|RAMANATHAPURAM
1.0|MANICKAM TAGORE B|Indian National Congress|382876|2380|385256|36.28|Tamil Nadu|VIRUDHUNAGAR
2.0|VIJAYAPRABHAKARAN V|Desiya Murpokku Dravida Kazhagam|378243|2634|380877|35.87|Tamil Nadu|VIRUDHUNAGAR
3.0|RADIKAA R|Bharatiya Janata Party|164149|2122|166271|15.66|Tamil Nadu|VIRUDHUNAGAR
4.0|KAUSHIK S|Naam Tamilar Katchi|76122|909|77031|7.25|Tamil Nadu|VIRUDHUNAGAR
5.0|RAJESH|Independent|6167|6|6173|0.58|Tamil Nadu|VIRUDHUNAGAR
6.0|ASHOK KUMAR M|Bharatiya Praja Aikyata Party|5228|65|5293|0.5|Tamil Nadu|VIRUDHUNAGAR
7.0|SEKAR S|Hindu Samaj Party|3436|10|3446|0.32|Tamil Nadu|VIRUDHUNAGAR
8.0|MANIKANDAN M|Independent|3341|5|3346|0.32|Tamil Nadu|VIRUDHUNAGAR
9.0|MAYAK KANNAN|Independent|2749|2|2751|0.26|Tamil Nadu|VIRUDHUNAGAR
10.0|MAHENDRA RAMAKRISHNAN P|Independent|2404|1|2405|0.23|Tamil Nadu|VIRUDHUNAGAR
11.0|SURESH|Bahujan Samaj Party|2378|19|2397|0.23|Tamil Nadu|VIRUDHUNAGAR
12.0|SELVI K|Independent|2165|23|2188|0.21|Tamil Nadu|VIRUDHUNAGAR
13.0|PANDIYAMMAL R|Independent|2128|5|2133|0.2|Tamil Nadu|VIRUDHUNAGAR
14.0|SUDALAIMANI M|Independent|1357|2|1359|0.13|Tamil Nadu|VIRUDHUNAGAR
15.0|PALANICHAMY P|Bahujan Dravida Party|1261|2|1263|0.12|Tamil Nadu|VIRUDHUNAGAR
16.0|PALANISAMY K|Independent|1251|6|1257|0.12|Tamil Nadu|VIRUDHUNAGAR
17.0|VENKATESWARAN V K|Independent|1242|5|1247|0.12|Tamil Nadu|VIRUDHUNAGAR
18.0|SELVARAJAN V V|Independent|1120|1|1121|0.11|Tamil Nadu|VIRUDHUNAGAR
19.0|MARIEESWARI M|Independent|1100|10|1110|0.1|Tamil Nadu|VIRUDHUNAGAR
20.0|SANKARANARAYANAN N|Independent|994|4|998|0.09|Tamil Nadu|VIRUDHUNAGAR
21.0|SELVAKUMAR M|Independent|896|6|902|0.08|Tamil Nadu|VIRUDHUNAGAR
22.0|MUTHUKANNU C|Tamilaga Makkal Nala Katchi|753|8|761|0.07|Tamil Nadu|VIRUDHUNAGAR
23.0|MARISELVAM S|All India People Development Party|708|3|711|0.07|Tamil Nadu|VIRUDHUNAGAR
24.0|JEYARAJ T|Independent|602|8|610|0.06|Tamil Nadu|VIRUDHUNAGAR
25.0|VEDHA @ DHAMODHARAN|Independent|599|1|600|0.06|Tamil Nadu|VIRUDHUNAGAR
26.0|RAJAGOPAL S|Independent|525|2|527|0.05|Tamil Nadu|VIRUDHUNAGAR
27.0|GANESHAMOORTHI G|Independent|457|3|460|0.04|Tamil Nadu|VIRUDHUNAGAR
28.0|NOTA|None of the Above|9256|152|9408|0.89|Tamil Nadu|VIRUDHUNAGAR
|Total||1053507|8394|1061901||Tamil Nadu|VIRUDHUNAGAR
1.0|THANGA TAMILSELVAN|Dravida Munnetra Kazhagam|569110|2383|571493|50.08|Tamil Nadu|THENI
2.0|TTV DHINAKARAN|Amma Makkal Munnettra Kazagam|289909|2759|292668|25.65|Tamil Nadu|THENI
3.0|NARAYANASAMY V T|All India Anna Dravida Munnetra Kazhagam|154871|716|155587|13.63|Tamil Nadu|THENI
4.0|MADHAN|Naam Tamilar Katchi|75495|1339|76834|6.73|Tamil Nadu|THENI
5.0|PRAKASH P|Independent|6293|5|6298|0.55|Tamil Nadu|THENI
6.0|PANDIKUMAR S|Independent|3907|60|3967|0.35|Tamil Nadu|THENI
7.0|AJEETHKUMAR S|Independent|2977|29|3006|0.26|Tamil Nadu|THENI
8.0|PARAMASIVAN S|Independent|2852|14|2866|0.25|Tamil Nadu|THENI
9.0|PARTHIBAN G|Independent|2275|2|2277|0.2|Tamil Nadu|THENI
10.0|JEEVA M|Bahujan Samaj Party|2123|99|2222|0.19|Tamil Nadu|THENI
11.0|CHARCHIL DURAI P|Humanity for Peace Party|1905|30|1935|0.17|Tamil Nadu|THENI
12.0|PREMA S|Independent|1225|7|1232|0.11|Tamil Nadu|THENI
13.0|MANIKANDAN R|Independent|1195|6|1201|0.11|Tamil Nadu|THENI
14.0|REVATHI K|Independent|1115|13|1128|0.1|Tamil Nadu|THENI
15.0|MUDIYARASU|All India Youth Development Party|1078|16|1094|0.1|Tamil Nadu|THENI
16.0|THIAGARAJAN O V|Independent|924|8|932|0.08|Tamil Nadu|THENI
17.0|VASANTHA SARAVANAN|Independent|803|2|805|0.07|Tamil Nadu|THENI
18.0|VIJAYAN K|Independent|665|2|667|0.06|Tamil Nadu|THENI
19.0|SETHUPATHI G|Independent|613|4|617|0.05|Tamil Nadu|THENI
20.0|JOHNGILBERTRAJ|Independent|598|5|603|0.05|Tamil Nadu|THENI
21.0|AATHIMUTHUKUMAR M|Independent|587|5|592|0.05|Tamil Nadu|THENI
22.0|MUTHUKUMAR|Independent|539|4|543|0.05|Tamil Nadu|THENI
23.0|HARIKRISHNAKUMAR R|Independent|481|5|486|0.04|Tamil Nadu|THENI
24.0|SATHEESH KUMAR A|Independent|447|6|453|0.04|Tamil Nadu|THENI
25.0|KUMAR|Independent|376|1|377|0.03|Tamil Nadu|THENI
26.0|NOTA|None of the Above|11206|130|11336|0.99|Tamil Nadu|THENI
|Total||1133569|7650|1141219||Tamil Nadu|THENI
1.0|VENKATESAN S|Communist Party of India (Marxist)|428201|2122|430323|43.6|Tamil Nadu|MADURAI
2.0|RAAMA SREENIVASAN|Bharatiya Janata Party|219035|1879|220914|22.38|Tamil Nadu|MADURAI
3.0|SARAVANAN P|All India Anna Dravida Munnetra Kazhagam|204163|641|204804|20.75|Tamil Nadu|MADURAI
4.0|SATHYADEVI T|Naam Tamilar Katchi|92386|493|92879|9.41|Tamil Nadu|MADURAI
5.0|VELMURUGAN A|Bharatiya Praja Aikyata Party|5966|43|6009|0.61|Tamil Nadu|MADURAI
6.0|VENKATESAN M|Independent|2497|8|2505|0.25|Tamil Nadu|MADURAI
7.0|RAMAR PANDI T|Bahujan Samaj Party|2489|17|2506|0.25|Tamil Nadu|MADURAI
8.0|SHANMUGA SUNDARAM A|United Republican Party of India|2338|11|2349|0.24|Tamil Nadu|MADURAI
9.0|PERIYASAMY K|Independent|1966|2|1968|0.2|Tamil Nadu|MADURAI
10.0|PANDIYAN S|Bahujan Dravida Party|1559|3|1562|0.16|Tamil Nadu|MADURAI
11.0|BOOMINATHAN C|Independent|1211|2|1213|0.12|Tamil Nadu|MADURAI
12.0|MUTHUPANDI S|Independent|1206|1|1207|0.12|Tamil Nadu|MADURAI
13.0|RAMANATHAN S|Independent|1191|3|1194|0.12|Tamil Nadu|MADURAI
14.0|VENKATESH S|Independent|1041|5|1046|0.11|Tamil Nadu|MADURAI
15.0|SANKARAPANDI M.P.|Independent|1025|4|1029|0.1|Tamil Nadu|MADURAI
16.0|GOPISON M.M.|Independent|942|4|946|0.1|Tamil Nadu|MADURAI
17.0|SARAVANAN K.K.|Independent|843|1|844|0.09|Tamil Nadu|MADURAI
18.0|GOPALAKRISHNAN S|Independent|745|1|746|0.08|Tamil Nadu|MADURAI
19.0|CHANDRASEKAR N|Independent|708|3|711|0.07|Tamil Nadu|MADURAI
20.0|PANDIYAN P|Socialist Unity Centre Of India (COMMUNIST)|576|2|578|0.06|Tamil Nadu|MADURAI
21.0|AVADAINATHAN V|Independent|461|1|462|0.05|Tamil Nadu|MADURAI
22.0|NOTA|None of the Above|11074|100|11174|1.13|Tamil Nadu|MADURAI
|Total||981623|5346|986969||Tamil Nadu|MADURAI
1.0|KARTI P CHIDAMBARAM|Indian National Congress|425631|2046|427677|40.6|Tamil Nadu|SIVAGANGA
2.0|XAVIERDASS A|All India Anna Dravida Munnetra Kazhagam|221255|758|222013|21.08|Tamil Nadu|SIVAGANGA
3.0|DHEVANATHAN YADAV T|Bharatiya Janata Party|194559|1229|195788|18.59|Tamil Nadu|SIVAGANGA
4.0|EZHILARASI|Naam Tamilar Katchi|162558|854|163412|15.51|Tamil Nadu|SIVAGANGA
5.0|DHANALAKSHMI M|Independent|8494|18|8512|0.81|Tamil Nadu|SIVAGANGA
6.0|GOVINDHARAJU M.G|Independent|4231|10|4241|0.4|Tamil Nadu|SIVAGANGA
7.0|NAGARAJAN KR|Independent|3682|14|3696|0.35|Tamil Nadu|SIVAGANGA
8.0|PALANIYAPPAN R|Independent|3426|1|3427|0.33|Tamil Nadu|SIVAGANGA
9.0|RANJITHKUMAR BALUSWAMY|Bahujan Samaj Party|3160|11|3171|0.3|Tamil Nadu|SIVAGANGA
10.0|BASKARAN S|Independent|2191|3|2194|0.21|Tamil Nadu|SIVAGANGA
11.0|KALAISELVAM K|Independent|1660|3|1663|0.16|Tamil Nadu|SIVAGANGA
12.0|MALAISAMY K|Independent|1524|3|1527|0.14|Tamil Nadu|SIVAGANGA
13.0|SEKAR A|Independent|1285|7|1292|0.12|Tamil Nadu|SIVAGANGA
14.0|SELVARAJ P|Independent|1108|3|1111|0.11|Tamil Nadu|SIVAGANGA
15.0|THILLAIVASAGAM M|Vidiyalai Thedum Indhiyargal Party|1068|5|1073|0.1|Tamil Nadu|SIVAGANGA
16.0|ASHOK KUMAR K|Independent|1030|4|1034|0.1|Tamil Nadu|SIVAGANGA
17.0|KARTHICK C|Independent|975|6|981|0.09|Tamil Nadu|SIVAGANGA
18.0|MUTHARASU PANDIYAN V|Independent|824|4|828|0.08|Tamil Nadu|SIVAGANGA
19.0|KALAIRAJA B|Independent|816|3|819|0.08|Tamil Nadu|SIVAGANGA
20.0|KARTHIKAIRAJAN P|Independent|762|9|771|0.07|Tamil Nadu|SIVAGANGA
21.0|NOTA|None of the Above|8119|70|8189|0.78|Tamil Nadu|SIVAGANGA
|Total||1048358|5061|1053419||Tamil Nadu|SIVAGANGA
1.0|MURASOLI S|Dravida Munnetra Kazhagam|498822|3423|502245|48.82|Tamil Nadu|THANJAVUR
2.0|SIVANESAN P|Desiya Murpokku Dravida Kazhagam|182172|490|182662|17.76|Tamil Nadu|THANJAVUR
3.0|MURUGANANTHAM M|Bharatiya Janata Party|169587|1026|170613|16.59|Tamil Nadu|THANJAVUR
4.0|HUMAYUN KABIR|Naam Tamilar Katchi|119683|610|120293|11.69|Tamil Nadu|THANJAVUR
5.0|RENGASAMY C|Independent|18130|61|18191|1.77|Tamil Nadu|THANJAVUR
6.0|SARAVANAN M|Independent|6730|65|6795|0.66|Tamil Nadu|THANJAVUR
7.0|SENTHIL KUMAR N|Independent|4133|25|4158|0.4|Tamil Nadu|THANJAVUR
8.0|EZHILARASAN S|Independent|3834|17|3851|0.37|Tamil Nadu|THANJAVUR
9.0|JAYABAL A|Bahujan Samaj Party|2400|10|2410|0.23|Tamil Nadu|THANJAVUR
10.0|SANTHOSH M|Independent|1982|10|1992|0.19|Tamil Nadu|THANJAVUR
11.0|ER ARJUN S|Independent|1440|6|1446|0.14|Tamil Nadu|THANJAVUR
